cluster,source,target,weight
0,sorcière,vieille,0.9722357988357544
0,sorcière,tête,0.9705504179000854
0,sorcière,belle,0.9680493474006653
0,sorcière,épouse,0.9642258286476135
0,sorcière,cachée,0.9616177678108215
0,sorcière,fleur,0.960854172706604
0,sorcière,osborne,0.9592139720916748
0,sorcière,mari,0.9587928056716919
0,sorcière,dame,0.9567100405693054
0,sorcière,fils,0.9565826058387756
0,sorcière,beau,0.9557245969772339
0,sorcière,venait,0.9552470445632935
0,sorcière,bête,0.9552101492881775
0,sorcière,blanche,0.9545952081680298
0,sorcière,allait,0.9528561234474182
0,sorcière,caroline,0.9523783922195435
0,sorcière,visage,0.9522731304168701
0,sorcière,fit,0.9512032270431519
0,sorcière,fille,0.9508519172668457
0,sorcière,charmante,0.9498641490936279
1,sorcière,aimée,0.9850894212722778
1,sorcière,sports,0.9475209712982178
1,sorcière,colorix,0.9431532621383667
1,sorcière,animaux,0.9387149214744568
1,sorcière,police,0.9342330098152161
1,sorcière,heures,0.9314013719558716
1,sorcière,cirque,0.9265727996826172
1,sorcière,métiers,0.9258201122283936
1,sorcière,parle,0.9249650835990906
1,sorcière,jours,0.9247686266899109
1,sorcière,lire,0.9228925108909607
1,sorcière,bill,0.9219878315925598
1,sorcière,américain,0.9217643141746521
1,sorcière,cher,0.9217432737350464
1,sorcière,aventures,0.921553909778595
1,sorcière,mot,0.9201623201370239
1,sorcière,reportage,0.919312596321106
1,sorcière,vert,0.9190199375152588
1,sorcière,moi,0.9189009070396423
1,sorcière,apollo,0.9185095429420471
2,sorcière,blanche,0.9869164228439331
2,sorcière,fille,0.9831979274749756
2,sorcière,stockel,0.9763580560684204
2,sorcière,sch,0.9754234552383423
2,sorcière,monty,0.973615288734436
2,sorcière,nova,0.9723153710365295
2,sorcière,noir,0.9722058176994324
2,sorcière,pax,0.9719139337539673
2,sorcière,elite,0.9705323576927185
2,sorcière,centra,0.970445990562439
2,sorcière,prince,0.9701546430587769
2,sorcière,ouest,0.9694799184799194
2,sorcière,ville,0.9693124294281006
2,sorcière,vaillance,0.9691277146339417
2,sorcière,capitaine,0.9684842824935913
2,sorcière,floreal,0.9678704738616943
2,sorcière,can,0.9664007425308228
2,sorcière,secret,0.9657114148139954
2,sorcière,luxor,0.9648160338401794
2,sorcière,loi,0.9646098017692566
3,sorcière,épouse,0.9810715317726135
